2025_01_06-11-17-04 {'ts': 536906735633186031, 'ambient': 16775405, 'ppg0': -16460049, 'ppg1': -16468546, 'ppg2': -16438239, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906735633193438, 'ambient': 16775397, 'ppg0': -16459944, 'ppg1': -16468434, 'ppg2': -16438106, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906735633200845, 'ambient': 16775392, 'ppg0': -16459821, 'ppg1': -16468353, 'ppg2': -16437910, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906735633208252, 'ambient': 16775367, 'ppg0': -16459532, 'ppg1': -16468151, 'ppg2': -16437646, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906735633215659, 'ambient': 16775348, 'ppg0': -16459326, 'ppg1': -16468062, 'ppg2': -16437379, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906735633223066, 'ambient': 16775452, 'ppg0': -16459218, 'ppg1': -16468047, 'ppg2': -16437349, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906735633230473, 'ambient': 16775460, 'ppg0': -16459112, 'ppg1': -16467866, 'ppg2': -16437074, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906735633237880, 'ambient': 16775335, 'ppg0': -16458854, 'ppg1': -16467681, 'ppg2': -16436838, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906735633245287, 'ambient': 16775291, 'ppg0': -16458621, 'ppg1': -16467398, 'ppg2': -16436505, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906735633252694, 'ambient': 16775312, 'ppg0': -16458494, 'ppg1': -16467319, 'ppg2': -16436403, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906735633260101, 'ambient': 16775363, 'ppg0': -16458440, 'ppg1': -16467151, 'ppg2': -16436356, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906735633267508, 'ambient': 16775363, 'ppg0': -16458134, 'ppg1': -16466985, 'ppg2': -16435936, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906735633274915, 'ambient': 16775400, 'ppg0': -16457998, 'ppg1': -16466851, 'ppg2': -16435825, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906735633282322, 'ambient': 16775344, 'ppg0': -16457866, 'ppg1': -16466684, 'ppg2': -16435643, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906735633289729, 'ambient': 16775329, 'ppg0': -16457816, 'ppg1': -16466574, 'ppg2': -16435545, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906735633297136, 'ambient': 16775347, 'ppg0': -16457744, 'ppg1': -16466567, 'ppg2': -16435297, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906735633304543, 'ambient': 16775328, 'ppg0': -16457699, 'ppg1': -16466477, 'ppg2': -16435339, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-05 {'ts': 536906735766692864, 'ambient': 16775069, 'ppg0': -16457383, 'ppg1': -16466384, 'ppg2': -16434756, 'ax': 0.406, 'ay': -1.185, 'az': 0.08}
2025_01_06-11-17-05 {'ts': 536906735766700271, 'ambient': 16775210, 'ppg0': -16457449, 'ppg1': -16466373, 'ppg2': -16434952, 'ax': 0.406, 'ay': -1.185, 'az': 0.08}
2025_01_06-11-17-05 {'ts': 536906735766707678, 'ambient': 16775385, 'ppg0': -16457690, 'ppg1': -16466501, 'ppg2': -16435214, 'ax': 0.406, 'ay': -1.185, 'az': 0.08}
2025_01_06-11-17-05 {'ts': 536906735766715085, 'ambient': 16775425, 'ppg0': -16457667, 'ppg1': -16466414, 'ppg2': -16435216, 'ax': 0.406, 'ay': -1.185, 'az': 0.08}
2025_01_06-11-17-05 {'ts': 536906735766722492, 'ambient': 16775314, 'ppg0': -16457600, 'ppg1': -16466391, 'ppg2': -16435086, 'ax': 0.406, 'ay': -1.185, 'az': 0.08}
2025_01_06-11-17-05 {'ts': 536906735766729899, 'ambient': 16775398, 'ppg0': -16457699, 'ppg1': -16466458, 'ppg2': -16435286, 'ax': 0.406, 'ay': -1.185, 'az': 0.08}
2025_01_06-11-17-05 {'ts': 536906735766737306, 'ambient': 16775409, 'ppg0': -16457689, 'ppg1': -16466481, 'ppg2': -16435309, 'ax': 0.406, 'ay': -1.185, 'az': 0.08}
2025_01_06-11-17-05 {'ts': 536906735766744713, 'ambient': 16775328, 'ppg0': -16457628, 'ppg1': -16466411, 'ppg2': -16435150, 'ax': 0.406, 'ay': -1.185, 'az': 0.08}
2025_01_06-11-17-05 {'ts': 536906735766752120, 'ambient': 16775309, 'ppg0': -16457677, 'ppg1': -16466351, 'ppg2': -16435208, 'ax': 0.406, 'ay': -1.185, 'az': 0.08}
2025_01_06-11-17-05 {'ts': 536906735766759527, 'ambient': 16775366, 'ppg0': -16457748, 'ppg1': -16466394, 'ppg2': -16435178, 'ax': 0.406, 'ay': -1.185, 'az': 0.08}
2025_01_06-11-17-05 {'ts': 536906735766766934, 'ambient': 16775436, 'ppg0': -16457855, 'ppg1': -16466480, 'ppg2': -16435204, 'ax': 0.406, 'ay': -1.185, 'az': 0.08}
2025_01_06-11-17-05 {'ts': 536906735766774341, 'ambient': 16775414, 'ppg0': -16457821, 'ppg1': -16466557, 'ppg2': -16435163, 'ax': 0.406, 'ay': -1.185, 'az': 0.08}
2025_01_06-11-17-05 {'ts': 536906735766781748, 'ambient': 16775429, 'ppg0': -16457908, 'ppg1': -16466494, 'ppg2': -16435250, 'ax': 0.406, 'ay': -1.185, 'az': 0.08}
2025_01_06-11-17-05 {'ts': 536906735766789155, 'ambient': 16775311, 'ppg0': -16457797, 'ppg1': -16466473, 'ppg2': -16435246, 'ax': 0.406, 'ay': -1.185, 'az': 0.08}
2025_01_06-11-17-05 {'ts': 536906735766796562, 'ambient': 16775367, 'ppg0': -16457760, 'ppg1': -16466524, 'ppg2': -16435365, 'ax': 0.406, 'ay': -1.185, 'az': 0.08}
2025_01_06-11-17-05 {'ts': 536906735766803969, 'ambient': 16775315, 'ppg0': -16457797, 'ppg1': -16466518, 'ppg2': -16435323, 'ax': 0.406, 'ay': -1.185, 'az': 0.08}
2025_01_06-11-17-05 {'ts': 536906735766811376, 'ambient': 16775378, 'ppg0': -16457879, 'ppg1': -16466666, 'ppg2': -16435310, 'ax': 0.406, 'ay': -1.185, 'az': 0.08}
2025_01_06-11-17-05 {'ts': 536906735766818783, 'ambient': 16775345, 'ppg0': -16457939, 'ppg1': -16466628, 'ppg2': -16435356, 'ax': 0.406, 'ay': -1.185, 'az': 0.08}
2025_01_06-11-17-05 {'ts': 536906735900207104, 'ambient': 16775083, 'ppg0': -16457529, 'ppg1': -16466651, 'ppg2': -16435117, 'ax': 0.406, 'ay': -1.185, 'az': 0.08}
2025_01_06-11-17-05 {'ts': 536906735900214511, 'ambient': 16775246, 'ppg0': -16457922, 'ppg1': -16466739, 'ppg2': -16435351, 'ax': 0.406, 'ay': -1.185, 'az': 0.08}
2025_01_06-11-17-05 {'ts': 536906735900221918, 'ambient': 16775305, 'ppg0': -16458059, 'ppg1': -16466772, 'ppg2': -16435362, 'ax': 0.406, 'ay': -1.185, 'az': 0.08}
2025_01_06-11-17-05 {'ts': 536906735900229325, 'ambient': 16775315, 'ppg0': -16458220, 'ppg1': -16466984, 'ppg2': -16435471, 'ax': 0.406, 'ay': -1.185, 'az': 0.08}
2025_01_06-11-17-05 {'ts': 536906735900236732, 'ambient': 16775379, 'ppg0': -16458593, 'ppg1': -16466946, 'ppg2': -16435424, 'ax': 0.406, 'ay': -1.185, 'az': 0.08}
2025_01_06-11-17-05 {'ts': 536906735900244139, 'ambient': 16775427, 'ppg0': -16458525, 'ppg1': -16467110, 'ppg2': -16435497, 'ax': 0.406, 'ay': -1.185, 'az': 0.08}
2025_01_06-11-17-05 {'ts': 536906735900251546, 'ambient': 16775390, 'ppg0': -16458588, 'ppg1': -16467278, 'ppg2': -16435584, 'ax': 0.406, 'ay': -1.185, 'az': 0.08}
2025_01_06-11-17-05 {'ts': 536906735900258953, 'ambient': 16775319, 'ppg0': -16458686, 'ppg1': -16467319, 'ppg2': -16435582, 'ax': 0.406, 'ay': -1.185, 'az': 0.08}
2025_01_06-11-17-05 {'ts': 536906735900266360, 'ambient': 16775350, 'ppg0': -16458768, 'ppg1': -16467523, 'ppg2': -16435726, 'ax': 0.406, 'ay': -1.185, 'az': 0.08}
